1	Glucagon-like Peptide-1 receptor agonists as emerging therapeutics in bipolar disorder: a narrative review of preclinical and clinical evidence	Molecular Psychiatry
2	Mental health in Californian Jews before and after October 7, 2023.	Psychological Trauma-Theory Research Practice and Policy
3	Attention‐deficit/hyperactivity disorder (ADHD) in adults: evidence base, uncertainties and controversies	World Psychiatry
4	A pragmatic randomized controlled trial of cognitive therapy for post‐traumatic stress disorder in children and adolescents exposed to multiple trauma	World Psychiatry
5	Incidence of gynecological cancers following prolactin‐increasing antipsychotic use: a population cohort study	World Psychiatry
6	The relationship between Problem Gambling Severity Index scores and suicidality: Results of a 9‐year cohort study of young United Kingdom adults	Addiction
7	Psychedelic neuroplasticity of cortical neurons lacking 5-HT2A receptors	Molecular Psychiatry
8	Boys don’t try? Gendered stigma specifically reduces help-seeking for disordered eating in men, but not women	Journal of Eating Disorders
9	Exercise Addiction: a Thematic Analysis of Self-Reported Cases for Clinical Insight and Prevention	International Journal of Mental Health and Addiction
10	Beyond symptom improvement: transdiagnostic and disorder‐specific ways to assess functional and quality of life outcomes across mental disorders in ad	World Psychiatry
